,name,tweet,retweets,location,country,created,followers,is_user_verified,vader_sentiment
36,thatchamdad,@ScottElliott10 And what about all the deaths where covid is suspected but not recorded? No one is saying the numbers are accurate but the reality is there is likely to be as much underestimation as overestimation. Sikora - a known NHS opponent - is being misleading,0,Thatcham,United Kingdom,30-May-2020,10510,False,negative
37,alvesj,"A software update allows Ford police SUVs to sterilize themselves.
https://t.co/CF9SayGaQ5",0,London,United Kingdom,30-May-2020,557,False,neutral
38,CathrynKer,"COVID 19

I know it's all we hear at the moment but it's going to dominate life for a long time.

I mentioned yesterday about how I will work post lockdown and it will have to be very different going forward.

So I… https://t.co/PVgSZFI0K7",0,Near Chester,United Kingdom,30-May-2020,3537,False,negative
39,gillsmith_smith,@meaapni this is so important.  Stories as a social archive of COVID experiences.  Really good to see this @NHSCTrust @HSCQI https://t.co/idy12dnBUU,0,Northern Ireland,United Kingdom,30-May-2020,1028,False,positive
40,gsmarsh,"I absolutely agree! 🙌🏼
@PhysioBrunel students @RBandH have been a cut above - so willing to help, quick to adapt &amp; always with a smile on their face!
They have been a vital part of our COVID workforce &amp; are a brilliant hope for our future generation of @WeAHPs @NHS_HealthEdEng https://t.co/6XTxYjzQOR",0,,United Kingdom,30-May-2020,483,False,positive
41,paulbhampton,"@paullewismoney With these numbers, expect to see more of it. Marooned here on Covid Island 🇬🇧 

Sweden also likely to see restrictions. 

Rest of Europe doing a good job in epidemic management. https://t.co/Zdw8EtTMuH",0,"🇾🇪 Manchester, Europe 🇪🇺",United Kingdom,30-May-2020,492,False,positive
42,Jim_bob_33,"@iandicko73 There will be though, but it wont be because people are unwilling to be controlled and decide that if they aren't going to die they might as well live. It's because Covid-19 is a virus and it will come back over and over cos that's what viruses do ...",0,"Newcastle Upon Tyne, England",United Kingdom,30-May-2020,143,False,positive
43,gardnerneil094,"Covid-19 is 'lurking so we must be prepared for new outbreaks,' WHO expert says https://t.co/CuzHCDZRcr",0,"Bradford, England",United Kingdom,30-May-2020,126,False,positive
44,pempeople,"As we close our pop up shop in Peckham , we look back at some of the people, especially young people who made us who we are 
They are not hard to reach , they are simply unheard
 Post covid let’s change the narrative 
More reasons to look forward to @LiveseyExchange coming 2021 https://t.co/LO4ffEWgBM",2,South East London,United Kingdom,30-May-2020,3857,False,positive
45,WillWilsonPhoto,"From my Covid-19 project Castlepark, one of three buildings in Lanark designed by William Leiper: Castlepark (1880), Wheatpark House (1882) and Greyfriars Kirk (1875). https://t.co/ubmIstdD3E",0,"Glasgow, Scotland",United Kingdom,30-May-2020,179,False,neutral
46,PKStanny73,@bannermankb @KP24 @ProfKarolSikora I know of 3 people who have been directly affected by this virus and  all 3 have said exactly the same thing. to me. Sadly It was the long term https://t.co/K7ef2t7Ac5 conditions that realistically caused the death of there loved ones and not Covid which was also registered.,0,Burnley,United Kingdom,30-May-2020,164,False,negative
47,GuyStacey1,My son had a drive thru covid test yesterday. Very easy to arrange. The army were in charge so it was super efficient and controlled. Results in two days. 🤞,0,"London, England",United Kingdom,30-May-2020,405,False,positive
48,AmitChampaneri1,Great insight - 6 areas of focus for #Business #Leaders during this #Covid19 crisis from #PwC via @MikeQuindazzi 👇🏽 &amp; &gt; https://t.co/Af29csUUuE #HealthTech #IoT #AI #DataAnalytics #Covid_19 #Leadership #Workforce #Operations #Finance #BigData #CyberSecurity #Risk #Tech #Cyber https://t.co/78K7EyGPAc,0,Surrey | London | Leeds | UK,United Kingdom,30-May-2020,4780,False,negative
49,johncoxonmedia,Stating the obvious - more than just risky it is a calculated ploy regardless of the actual best science. #Tory covid policy is to play Russian roulette with our lives to save their supporters profit margins it seems to me @VictoriaLIVE https://t.co/HEOSSujGOc,0,"Greater Manchester, UK",United Kingdom,30-May-2020,1767,False,positive
50,benbait,Did they have “common cold” or COVID???? It’s important...lm off work Cus off this guy.,0,stoke on trent,United Kingdom,30-May-2020,49,False,neutral
51,AlmostSenseless,"@BistuaNuova The alternative view is ""Guernsey last place in Bailiwick to be declared covid free"" 😈",0,"Sark, Bailiwick of Guernsey",United Kingdom,30-May-2020,1245,False,positive
52,MrVicks,Covid-19 watching y’all like https://t.co/tmhUiH25dZ,1,MrVicks,United Kingdom,30-May-2020,4225,False,positive
53,gardnerneil094,Office for National Statistics report on social impact of covid 19 pandemic nhttps://www.ons.gov.uk/peoplepopulationandcommunity/healthandsocialcare/healthandwellbeing/bulletins/coronavirusandthesocialimpactsongreatbritain/29may2020,0,"Bradford, England",United Kingdom,30-May-2020,126,False,neutral
54,JustinList,@TeslaTested 48% decline in Honda sales in March in California due to covid.,0,London,United Kingdom,30-May-2020,667,False,neutral
55,kieranbowley,"@SkyNews Over 100,000 deaths in America from COVID and all this orange dictator/buffoon cares about is Twitter 🤷🏻‍♂️🤦🏻‍♂️",0,"London, England",United Kingdom,30-May-2020,466,False,positive
56,Jennife10651535,"This article implies that tests are sent out by the postal service. 
Minr was sent via Amazon

https://t.co/lBMcdBcp6M",0,Hassocks,United Kingdom,30-May-2020,1089,False,positive
57,johncoxonmedia,Can't help thinking this attitude is at the heart of #Tory  #economics even though UK state  #pensions are pitifully low in comparison to other equally  prosperous European Union countries.Covid seen as a herd cull. https://t.co/H5SVPlouMi,0,"Greater Manchester, UK",United Kingdom,30-May-2020,1767,False,negative
58,jessiehewitson,@VenetiaSB The exceptional circumstances of covid-19 (it's part of the Coronavirus bill). So while the govt was saying all kids with ehcps have a school place it downgraded duty to provide provision to reasonable endeavours.,0,Crouch End,United Kingdom,30-May-2020,6509,False,neutral
59,JimKerr1973,"From December 2019 before Covid-19 - interesting article
 
800 more people dying weekly this winter on average, data shows
10,958 deaths were recorded in England and Wales in last week of November
 https://t.co/Wq9nLsCr8s via @MailOnline",2,"Sunderland, England",United Kingdom,30-May-2020,4788,False,positive
60,julian2tweet,"Amid the Covid-19 Crisis, Single-Family Homes May Be the Smart Investment #realestate #SaturdayMotivation https://t.co/U5In3q0duU via @MansionGlobal",0,Brighton & Hove - England,United Kingdom,30-May-2020,3168,False,positive
61,Chris_Lawro_,"70 year old Man United fan who was seriously ill and not expected to survive with Covid gets a card from Sir Alex and letter from Ole. He is now making a revovery.
#ClassClub https://t.co/NGgMXTddZO",7,"England, United Kingdom",United Kingdom,30-May-2020,17974,False,positive
62,perfecteyesltd,Please join my Instagram live for an eye opening story of my colleagues covid 19 experience @SachMohan. I learnt so much from just talking to him &amp; recommend you join me on IG live tomorrow at 11 am UK time- 3.3O pm India🙏🏻 #eyesoncorona #vitD #cytokinestorm #drsabrinashahdesai https://t.co/d8ivOhbokp,0,"121 Harley Street, London ",United Kingdom,30-May-2020,1278,False,positive
63,solutiontalkuk,"“How to Manage COVID and Conflict in Our Homes and Workplaces”

#SolutionTalk #mediation #workplaceconflict 

https://t.co/puNGpTC7Ek",0,"Manchester, M1 4BT",United Kingdom,30-May-2020,928,False,negative
64,KajEmbren,Building a local entrepreneurial ecosystems in India  #climatesolutions via @forbes https://t.co/AuAdtaKIaa @ContChange @WorldResources @eaEnergyEU @ICLEI @EcoWatch @EURACTIV @Youth4ClimateIn @TREE_India @indiatvnews @WRIClimate #LeadershipMatters,2,"London, United Kingdom",United Kingdom,30-May-2020,75276,False,neutral
65,mrmjprice,@timeservedapp @AndrewPoetry @KatyaTaylor @KitdeWaal NHS England data set - see tab 2 for deaths by date of death: https://t.co/Ww2ToS86Co,0,"Birmingham, UK",United Kingdom,30-May-2020,2828,False,negative
66,leweswhite,@CarolHambelton @Peter_Shilton @pepelep48542643 @UKLabour @SKinnock @lisanandy How about Robert Kenrick who is a Govt minister who did the same as Stephen Kinnock. How about the Welsh Tory MP being investigated by the police. The difference is THEY WERE NOT COVID POSITIVE. The didn't lie to the PM and country. ( It was a jolly for his wife's birthday),0,"South East, England",United Kingdom,30-May-2020,2323,False,negative
67,davidwkchitty1,Important #audit guidance from @IAASB_News on application of #ISA540 #estimates - relevant for #auditors as #Covid_19 has created new challenges &amp; uncertainties https://t.co/WlobF5l022,0,"London, England",United Kingdom,30-May-2020,1860,False,positive
68,Thomas459C,"@BarristersHorse @1st_bn_glosters Exactly, the SCUM media have acted disgracefully throughout the COVID crisis. Criticising everything out of proportion. They need to be put in their place. Although the way they have acted its hard to find a place low enough for these scum to occupy.",0,Llanelli,United Kingdom,30-May-2020,62,False,negative
69,HudsonPhysio,"Couldn’t agree more @CM_RespPhysio! The @PhysioBrunel students were a cut above the rest, not only academically but their compassion, drive and resilience during this #COVID__19 crisis was outstanding. @Bruneluni @RBandH #respisbest https://t.co/BAlahaL2pr",1,"London, England",United Kingdom,30-May-2020,276,False,positive
70,OlaAgbaimoni,Covid-19: ensuring equality of access to testing for ethnic minorities https://t.co/CdgUgNoXZS,0,London,United Kingdom,30-May-2020,33167,False,positive
71,qaisarabbasuk,"#Coronavirus Discretionary Grants💷!

Are you in a shared office or other flexible workspace or a business in #Thurrock that does not have its own business rates? You can apply here for grant. ➡️https://t.co/8RpnV5IId5",0,"Grays, East",United Kingdom,30-May-2020,199,False,positive
72,adiskype,"@pdbluec @CliveMyrieBBC @BBCNews #ForTheMany🌈

💖Clive Myrie😀
Our lad always
on the spot
(in 2015⬇️here)
&amp;always spot🔴on, truthfully~reporting
his feelings of the pulse in the news~moment🌈x
#CliveMyrieBBC
#Covid_19☠️
#RoyalLondonHospital
#ThePlague☠️

#Twitter☑️
#bbc🌍@BBCWorld🤸@bbcworldservice💖
#trending https://t.co/O3jygbrDD7",1,*link*⬆️see me do my music🎶🎸,United Kingdom,30-May-2020,547,False,positive
73,Michaelscurfie1,"OH DEAR! 
Covid-19: England alone 'has the world's highest mortality rate' https://t.co/gVFJvHLhBW",0,Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿💚,United Kingdom,30-May-2020,705,False,positive
74,TCourlander,"@JoshuaPotash If i thought @realDonaldTrump was a bad man, I’d look at this and see potential covid victims gathered together. He didn’t need any help getting the idiot white folk out to protest lockdown so he can cancel government aid, and now this. Chaos has arrived just in time for Trump",0,London,United Kingdom,30-May-2020,177,False,negative
75,KarenMFinlayson,"For analysis on the latest economic data for the UK, including results from the recent ONS survey on the business impact of #COVID19, see @PwC_UK's latest weekly Economic Update: https://t.co/IkPan2jEzT",0,"Doncaster, England",United Kingdom,30-May-2020,1026,False,neutral
76,Vmania79,"Fucks sake fuck Covid-19 you can’t buy Cuprinol anywhere unless you are prepared to camp out at B n Q!!!! 😤

CBA I’ve got enough tasks to do, fence will have to wait for another year 🖕🏼",0,"Yorkshire, UK, Planet Earth 🌍",United Kingdom,30-May-2020,518,False,negative
77,deborahlayde,"An overwhelming call ... ""to immediately introduce more flexible funding systems that allow communities real autonomy in meeting their needs during the Covid-19 response. This includes shifting away from project funding towards support for org'n development and sustainability"" https://t.co/mx67kZ44vx",0,UK,United Kingdom,30-May-2020,645,False,positive
78,JadeEdwards9,"Wowee! 
I didn’t expect to get just under 350 comments back to this tweet... it seems we are all missing our motorsport fix massively! 

That first trip to a track post Covid-19 is going to be one you’ll never forget... so pick wisely! 😂🏆👍🏼🏁 https://t.co/qZaJHgFHV2",1,#9for9,United Kingdom,30-May-2020,12019,False,positive
79,paulconnew1,Why Cummings job survival will only compound UK Covid-19 economic agony. https://t.co/yZdjtfybGt,0,,United Kingdom,30-May-2020,1970,False,negative
80,PhillHBNU,"Some important words that we all need to hear and live by as we move onto the next phase of our #Covid living 
#ThankYou #ThinkTwice. https://t.co/dvXIcemnJT",0,"London, England",United Kingdom,30-May-2020,771,False,positive
81,arhselk,When the Daily Mirror And Kevin Maguire need Theresa May to back up their narrative. The game has already been LOST. “CUMMINGS IS STAYING MEANS CUMMINGS IS STAYING “Laughingly Theresa’s LATE AND PATHETIC COWARDLY Intervention confirms this. #COVID__19 #lockdown2020 #COVIDIOTS https://t.co/3WbcFGFCzF,18,"North West, England",United Kingdom,30-May-2020,10918,False,negative
82,procter_neil,"What are people’s lockdown/covid non acting jobs? 

@AntheaCProcter are both industrial cleaners. 

#restingveryhard",0,"Preston, England",United Kingdom,30-May-2020,237,False,neutral
83,AnnEllis6,"It would be interesting to know if the North East has a higher number of people with Covid symptoms. 2nd MP to travel up there with Covid symptoms. This really isn't acceptible

https://t.co/biaz5WoNYV",0,UK,United Kingdom,30-May-2020,466,False,positive
84,TCourlander,@JamesEFoster Not far removed from blaming a an Asthmatic for dying of Covid,0,London,United Kingdom,30-May-2020,177,False,negative
85,laurenpowcowley,"☀️
———————————————————
Covid-19, proving all you need is sunshine and a picnic blanket. @ Lincoln Castle https://t.co/AFEFQXWK5N",0,"Lincoln, England",United Kingdom,30-May-2020,1752,False,positive
86,shadschahine,"Boris: We’re governed by the science...

Sage advisors: Covid-19 spreading too fast to lift lockdown in England

Tell me how announcing the easing of lockdown wasn’t a political move to move on from the Dominic Cummings scandal?

 https://t.co/hrPdg7iTWc",0,"Hammersmith, London, UK",United Kingdom,30-May-2020,574,False,negative
87,Jessica0805,@Sopman__ Aren’t you spreading discrimination against Asians?  You make me feel disgusted! #COVID__19 spread FROM CHINA!  Have you ever watched any news?,0,"London, England",United Kingdom,30-May-2020,701,False,negative
88,JCKits,We are working hard putting things in place for 15 June. Our official COVID-19 signage will be installed this week and lots of measures will be in place for the safety and well-being of our staff and visitors. Cannot wait to show you our windows. Thanks for your support #staysafe https://t.co/ovGIhGj5Hn,0,,United Kingdom,30-May-2020,420,False,positive
89,Mreurovision,@DrAmirKhanGP Good morning. My sister has received a text to shield until June 30th. No letter. Her GP has told her the text is a scam. Is this correct? Help me. She spent a week in hospital as she contracted Covid-19.,0,Coventry,United Kingdom,30-May-2020,997,False,positive
90,KajEmbren,"The call for a more resilient, circular and low-carbon economic model #circulareconomy #LeadershipMatters #sustainability #impactinvestment https://t.co/ywIK0hGwvL via @GreenBiz @erikabjerstrom @KirstenCKIC @Kommuninvest @PLarshans @JunagarhMedia @JimBair62221006 @eaEnergyEU",2,"London, United Kingdom",United Kingdom,30-May-2020,75276,False,neutral
91,minty_adam,"@GarethSoye @SirBasilBrush I've got it. 

Just send a few bin dippers, when the CCP start crying tell them to pay out compo for the COVID pandemic. If they refuse, send em some Brummies.",0,Southend-on-Sea,United Kingdom,30-May-2020,1038,False,negative
92,DrAngelChater,"Wk 5 since my father-in-law went in with sepsis. Got COVID-19 in hospital, lost 22kg, now moved to a care home for those still testing positive. Spoke last night. Says the tests make him gag/go so high up nose. I hope home test technique doesn’t become an issue for TTI &amp; Sen/Spe",0,England,United Kingdom,30-May-2020,3218,False,positive
93,HazelAllen,"Next thing you know they'll claim the cause of death is COVID, then blame China for it.

#ICantBreathe https://t.co/tG7X1mgfK2",0,"221B, Baker Street, London.",United Kingdom,30-May-2020,1754,False,negative
94,ColinAnderson65,This government seem to be incapable of being open and honest with the public. Something to hide': government accused over Covid-19 tests https://t.co/l7vpMwhv5z,0,"Salford, UK",United Kingdom,30-May-2020,730,False,positive
95,CarlMcCulloch,"Such a shame to see what’s happening in America over the racial killing. BUT, and this isn’t making light of anything, #Covid news is now way down the pecking order on mainstream news sites. We’ve turned a corner as we head back to normal. And not even a new normal IMO.",0,Swindon,United Kingdom,30-May-2020,459,False,negative
96,invadingpirate,COVID-19 economics — first book hits shelves https://t.co/37vkc85CyC,0,Barnstaple,United Kingdom,30-May-2020,857,False,neutral
97,KarenMFinlayson,"Navigating the release from lockdown is a key focus for businesses as #COVID19 restrictions are gradually eased. On 2 June, @PwC_UK will host a live webcast to explore the latest government review &amp; what this means for you &amp; your workforce. Register now https://t.co/orHSoOcDT4",0,"Doncaster, England",United Kingdom,30-May-2020,1026,False,positive
98,johnstretch,@Bidisha_online on @SkyNews Press Preview talking about danger to schoolchildren from returning to school. There is close to zero risk to &lt;14s from Covid-19,0,"Lancashire, England",United Kingdom,30-May-2020,493,False,negative
99,Isabel_hunt710,"Latest statement from @Opera_North on their response to the #COVID__19 crisis. 👇🏼

#cultureinquarantine 
#Yorkshire https://t.co/JYDkLKtK8O",0,Anywhere smart,United Kingdom,30-May-2020,2357,False,negative
100,StephenMorganMP,"Worrying new figures show that in our constituency, unadjusted unemployment claimants were a staggering 123% higher in April 2020 than April 2019. This is not just a public health emergency, this is an economic crisis too👇🏻
https://t.co/yb6qAhQDay",1,Portsmouth | Westminster,United Kingdom,30-May-2020,11051,True,negative
101,ReproArtsLtd,Daily Mail owner's print advertising revenues plunge by 70% https://t.co/msNL4iEQq6,0,Great Yarmouth UK,United Kingdom,30-May-2020,5004,False,neutral
102,Athena_Mandis,"@pixiesheena @DeborahMeaden @BorisJohnson Oh dear, another gullible person regurgitating the BS she’s been told to believe. Without actually thinking on the implications. I take it you are happy we lead the world in deaths from Covid-19",0,UK,United Kingdom,30-May-2020,887,False,positive
103,MrJonPayne,Free read on the FT. Damning evidence that the UK borked it's COVID response. ☹️ https://t.co/l4VazsSgL9,2,Bristol,United Kingdom,30-May-2020,1726,False,positive
104,lizc853,COVID-19 with Chris Whitty https://t.co/ZrZkWmcZKl via @YouTube they are terrifying people flu is more life threatening than this,0,,United Kingdom,30-May-2020,30,False,negative
105,RachaelBickley,"@jlfergu @jessbrammar @millihill 100% agree about AN + PN care being deeply affected... but in some areas % of parents on continuity models has risen during Covid. Perhaps a minority, but I am hearing more issues from parents after MW discharge. Where is the new funded 6 week MATERNAL check that was promised??",0,"Milton Keynes, England",United Kingdom,30-May-2020,232,False,positive
106,Alx_R_M,"I think we need a mental break of this #COVID. Turn off all the news of this and let's live together and enjoy the sun. For the ones like me is easy to survive. I want to get Hugs today from the youngest to the elderly ones. I want to see everyone smile back!
#together is #better",0,"London, England",United Kingdom,30-May-2020,0,False,positive
107,mikecoulson48,"The poorest shouldn’t pay for coronavirus – banks should https://t.co/wCNDvwUWpi via @leftfootfwd
I just signed this petition to support a tax on banks to help fund our NHS and economic recovery from COVID-19. Closes July 5 #RobinHoodTaxNow https://t.co/JabPVDoZdS",5,Nth Yorks,United Kingdom,30-May-2020,24340,False,positive
108,callummac65,"@PeterMurrell STOP DON'T TAKE A CHANCE.
Someone may tell you the truth that covid 19 is a farce 
You may also speak to folks with like minds and Frau Sturgeon doesn't like that
You won't see anyone with covid, it's a farce, and Scot govrenment doesn't like being found out.",0,"Wishaw, Scotland",United Kingdom,30-May-2020,6,False,negative
109,tattiesfortwo,I can’t say for sure but skye was covid free before the one man crusade appeared on the island,3,Perthshire scotland uk ,United Kingdom,30-May-2020,2531,False,positive
110,SloughMeans,"A financial support package for local businesses affected by #COVID19 launches 1 June.  BEIS allocation to the council for this grant is only £870k so only 174 businesses can receive a £5k grant. The application closes 12 June. To check &amp; apply, click 👉 https://t.co/W6i2GijIQh https://t.co/HH7WQneskX",0,"Slough, Berkshire",United Kingdom,30-May-2020,933,False,positive
111,ColinAnderson65,Covid-19 spreading too fast to lift lockdown in England – Sage advisers https://t.co/5KtXCte2KK,1,"Salford, UK",United Kingdom,30-May-2020,730,False,neutral
112,TheGreatRejoin,"What will Johnson do now, we suspect he'll push on regardless and risk a second wave.
#ToryGenocide
Covid-19 spreading too fast to lift lockdown in England – Sage advisers

https://t.co/qqsdGLw9uh",7,"Great Britain, Europe",United Kingdom,30-May-2020,6956,False,negative
